alg_name,trial_num,runtime_mircosecs,result,gamma,max_iters,ds_path
EigenTriangle,7,790905,339839,,20,data/wikipedia/chameleon/musae_chameleon_edges.csv
EigenTriangle,8,622287,339776,,20,data/wikipedia/chameleon/musae_chameleon_edges.csv
EigenTriangle,9,872838,336081,,20,data/wikipedia/chameleon/musae_chameleon_edges.csv
Spectral Count,0,3113962,345064,,,data/wikipedia/chameleon/musae_chameleon_edges.csv
Spectral Count,1,1234299,345064,,,data/wikipedia/chameleon/musae_chameleon_edges.csv
Spectral Count,2,8260491,345064,,,data/wikipedia/chameleon/musae_chameleon_edges.csv
Spectral Count,3,7633286,345064,,,data/wikipedia/chameleon/musae_chameleon_edges.csv
Spectral Count,4,16872609,345064,,,data/wikipedia/chameleon/musae_chameleon_edges.csv
Spectral Count,5,6677538,345064,,,data/wikipedia/chameleon/musae_chameleon_edges.csv
Spectral Count,6,1500758,345064,,,data/wikipedia/chameleon/musae_chameleon_edges.csv
Spectral Count,7,896906,345064,,,data/wikipedia/chameleon/musae_chameleon_edges.csv
Spectral Count,8,3196640,345064,,,data/wikipedia/chameleon/musae_chameleon_edges.csv
Spectral Count,9,7717399,345064,,,data/wikipedia/chameleon/musae_chameleon_edges.csv
TraceTriangleR,0,471771,577562,1.0,,data/wikipedia/crocodile/musae_crocodile_edges.csv
TraceTriangleR,1,658346,553790,1.0,,data/wikipedia/crocodile/musae_crocodile_edges.csv
TraceTriangleR,2,1036923,1041431,1.0,,data/wikipedia/crocodile/musae_crocodile_edges.csv
TraceTriangleR,3,1111901,1185139,1.0,,data/wikipedia/crocodile/musae_crocodile_edges.csv
TraceTriangleR,4,483821,883727,1.0,,data/wikipedia/crocodile/musae_crocodile_edges.csv
TraceTriangleR,5,714284,599196,1.0,,data/wikipedia/crocodile/musae_crocodile_edges.csv
TraceTriangleR,6,561541,626742,1.0,,data/wikipedia/crocodile/musae_crocodile_edges.csv
TraceTriangleR,7,647120,969575,1.0,,data/wikipedia/crocodile/musae_crocodile_edges.csv
TraceTriangleR,8,456454,265686,1.0,,data/wikipedia/crocodile/musae_crocodile_edges.csv
TraceTriangleR,9,584735,394801,1.0,,data/wikipedia/crocodile/musae_crocodile_edges.csv
TraceTriangleN,0,839125,360721,1.0,,data/wikipedia/crocodile/musae_crocodile_edges.csv
TraceTriangleN,1,653658,539110,1.0,,data/wikipedia/crocodile/musae_crocodile_edges.csv
TraceTriangleN,2,919864,774301,1.0,,data/wikipedia/crocodile/musae_crocodile_edges.csv
TraceTriangleN,3,956242,1158167,1.0,,data/wikipedia/crocodile/musae_crocodile_edges.csv
TraceTriangleN,4,575893,1689481,1.0,,data/wikipedia/crocodile/musae_crocodile_edges.csv
TraceTriangleN,5,694191,969756,1.0,,data/wikipedia/crocodile/musae_crocodile_edges.csv
TraceTriangleN,6,676553,713240,1.0,,data/wikipedia/crocodile/musae_crocodile_edges.csv
TraceTriangleN,7,502436,560595,1.0,,data/wikipedia/crocodile/musae_crocodile_edges.csv
TraceTriangleN,8,766911,0,1.0,,data/wikipedia/crocodile/musae_crocodile_edges.csv
TraceTriangleN,9,834315,748134,1.0,,data/wikipedia/crocodile/musae_crocodile_edges.csv
EigenTriangle,0,25926033,387376,,20,data/wikipedia/crocodile/musae_crocodile_edges.csv
EigenTriangle,1,20363698,389000,,20,data/wikipedia/crocodile/musae_crocodile_edges.csv
EigenTriangle,2,17973601,388402,,20,data/wikipedia/crocodile/musae_crocodile_edges.csv
EigenTriangle,3,16603529,387779,,20,data/wikipedia/crocodile/musae_crocodile_edges.csv
EigenTriangle,4,13769375,385175,,20,data/wikipedia/crocodile/musae_crocodile_edges.csv
EigenTriangle,5,9936711,388687,,20,data/wikipedia/crocodile/musae_crocodile_edges.csv
EigenTriangle,6,5809783,387956,,20,data/wikipedia/crocodile/musae_crocodile_edges.csv
EigenTriangle,7,5099655,387720,,20,data/wikipedia/crocodile/musae_crocodile_edges.csv
EigenTriangle,8,4329205,388301,,20,data/wikipedia/crocodile/musae_crocodile_edges.csv
EigenTriangle,9,4419433,388983,,20,data/wikipedia/crocodile/musae_crocodile_edges.csv
Spectral Count,0,18870617,630879,,,data/wikipedia/crocodile/musae_crocodile_edges.csv
Spectral Count,1,13651184,630879,,,data/wikipedia/crocodile/musae_crocodile_edges.csv
